user,text
b'LioxLord',b'@VP You and sleepy are a fucking disgrace.'
b'MikeParnell14',b'@VP Are you serious? Such a delusional crowd.'
b'Josh07799969',b'@VP People are going back to the jobs you and your kind forced them out of with this covid false flag operation tha\xe2\x80\xa6 https://t.co/JDFnzYxqrM'
b'LutfShafiq',b'@VP You have achieved success in adding and receiving immigrants to America in a lottery way unless any previous ad\xe2\x80\xa6 https://t.co/c6kp8J3HGi'
b'Ashutos34135242',b'@VP Well done.'
b'William66463148',"b""@VP You did not create the job's the people just went back to work"""
b'enoughpplthink',b'@VP Enough all ready you are not qualified for office. History will laugh at this administration'
b'MariaBena9',"b'@VP You are now the Vice President, and this is thanks to your parents who were immigrants. Please help us to give\xe2\x80\xa6 https://t.co/9707r6LduX'"
b'Carl71180075',b'@VP Call governor Abbott election know how to go about fixing the border crisisCall governor Abbott he will show\xe2\x80\xa6 https://t.co/exqTaIVcDp'
b'jsmith70301',b'@VP No you haven\xe2\x80\x99t'
b'Sandra22507079',b'@VP The economy opening back up and the vaccines created by Operation Warp Speed are why the job numbers have begun\xe2\x80\xa6 https://t.co/EUk0JwziyU'
b'JobinJa16654789',b'@VP And still paying unemployment insurance along with the hyperinflation of the economy as well as more tax rates\xe2\x80\xa6 https://t.co/RP5stiAOgz'
b'3AngelsFrGeorge',"b'@VP Creating new jobs is good, of course! More IMPORTANTLY we need consider the work environment, in the office &amp; w\xe2\x80\xa6 https://t.co/1AnaSstitw'"
b'Steve62649682',b'@VP Pandemic recovery is not job creation. Good try though. What policy or EO put forth by this administration acco\xe2\x80\xa6 https://t.co/rzpFWFaQgB'
b'XavierG94036381',b'@VP @texasdemocrats Good going https://t.co/D37d76GN50'
b'GregHood20',b'@VP New industry? New companies? What and how did you create jobs? You made up some stuff and created something tha\xe2\x80\xa6 https://t.co/PFngzouqCb'
b'PercyDa60757640',b'@VP Haha haha haha https://t.co/fqkQXnTBBa'
b'dkj313',"b""@VP Yes the pandemic is over what did you expect would happen.  I'm not even an economic student"""
b'FelixRo93261596',b'@VP @texasdemocrats The work that U n President Biden R doing is awesome only real problem is that twice impeached\xe2\x80\xa6 https://t.co/d1AhF7Mp51'
b'djamal1962',b'@VP Let\xe2\x80\x99s talk politique Madame la Pr\xc3\xa9sidente Algeria in danger if you do not help Hiram Russia and China will take\xe2\x80\xa6 https://t.co/1gvJm1Y7mD'
b'fabiobaldieri',b'@VP What is the percentage vs 2019 the year before pandemic? This value will give the real result of the new admini\xe2\x80\xa6 https://t.co/NoCazMfoI5'
b'toosickofit3',b'@VP Liar'
b'AbdellatifIssou',b'@VP Save DV 2020'
b'Christo88690074',"b'@VP You did not create jobs.  Those jobs were already there, people actually just went back to work after your unca\xe2\x80\xa6 https://t.co/I3WAegBfEr'"
b'freduptown3',b'@VP Such a lie. Such such a lie.'
b'Samjam1234Anaya',b'@VP Shut up.'
b'Khojig2',"b'@VP Oh come on, you\xe2\x80\x99re making that up.'"
b'honestcitizen8',b'@VP \xf0\x9f\x91\x8fWell Spoken..'
b'YWadalhindy',"b'@VP The whole world looks at this administration with optimism, yes, good luck. The bright administration, very exc\xe2\x80\xa6 https://t.co/eQcbyiFhPm'"
b'ericludwick1',b'@VP Thank the Donald Kammy'
b'DaRealLoyalPapi',b'@VP What ABOUT skilled labor with 5 years experience??? Those jobs should pay $17 hourly - not $13 for medical and\xe2\x80\xa6 https://t.co/pr49KDMGMp'
b'JerryPicazo3',"b""@VP No u didn't government has never created jobs only headaches and more taxes"""
b'Thobani11172244',b'@VP Powerful madam vice president'
b'Vaibhav43864835',b'@VP Brilliant step mam \xf0\x9f\x98\x8a\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d'
b'hoppbd',b'@VP You didn\xe2\x80\x99t create shit. You are counting people that are going back to their jobs after this bogus shutdown. Ni\xe2\x80\xa6 https://t.co/5TI9U19pag'
b'levelheadedle',"b""@VP That's excellent, but what about the minimum wage raise? That's going to hurt the Democrat Senators in the up a\xe2\x80\xa6 https://t.co/wYMJQfQDub"""
b'sirchseis',"b'@VP But no financial aid relief \xe2\x80\xa6., you fooled me for my vote'"
b'DominicLesoir',"b""@VP We don't phuk withchya POFS #stolenelection https://t.co/pboGFfHFYe"""
b'PaulDow70698846',b'@VP The economy would have rebound anyway!'
b'RichardSchaad1',b'@VP @tizyoko1 probably should create some at DOJ'
b'p_pate',"b'@VP Nothing was ""created""  covid restrictions were lifted and people went back to jobs they already had.  This is disingenuous.'"
